FORTYPCD,REGION,MOG,Old_Growth
201,01.1,21,12
221,01.1,11,2
241,01.1,1,0
265,01.1,3,0
266,01.1,34,19
267,01.1,32,15
268,01.1,6,2
270,01.1,14,9
281,01.1,1,1
301,01.1,7,3
304,01.1,22,15
321,01.1,1,1
367,01.1,0,0
703,01.1,0,0
902,01.1,0,0
999,01.1,0,0
182,01.2,1,1
201,01.2,60,30
221,01.2,7,3
241,01.2,0,0
265,01.2,15,7
266,01.2,92,41
267,01.2,3,4
268,01.2,20,2
270,01.2,6,1
281,01.2,62,0
301,01.2,3,0
304,01.2,3,1
321,01.2,12,7
366,01.2,0,0
367,01.2,13,2
368,01.2,2,0
703,01.2,0,0
709,01.2,0,0
901,01.2,0,1
911,01.2,0,0
974,01.2,2,0
999,01.2,0,0
182,01.3,0,1
184,01.3,0,0
201,01.3,11,8
221,01.3,3,1
265,01.3,2,2
266,01.3,7,8
268,01.3,3,0
281,01.3,13,0
366,01.3,1,0
367,01.3,7,6
503,01.3,0,0
509,01.3,0,0
517,01.3,0,0
703,01.3,0,0
901,01.3,0,0
999,01.3,0,0
122,02,0,0
171,02,0,0
182,02,3,3
184,02,9,14
185,02,94,106
201,02,24,14
221,02,7,1
261,02,7,0
265,02,76,43
266,02,65,27
268,02,4,2
269,02,0,0
281,02,72,31
362,02,1,0
365,02,10,7
366,02,12,2
367,02,7,3
509,02,0,0
520,02,0,0
703,02,1,0
706,02,0,0
901,02,191,0
902,02,0,0
962,02,0,0
971,02,42,3
974,02,7,4
999,02,0,0
182,03,9,0
184,03,132,0
185,03,240,0
201,03,16,24
221,03,57,0
261,03,4,2
265,03,2,39
266,03,1,21
269,03,1,2
362,03,0,0
365,03,0,0
366,03,0,0
368,03,0,0
503,03,0,0
703,03,2,1
706,03,0,0
709,03,0,0
901,03,3,13
962,03,0,0
971,03,4,1
972,03,39,0
973,03,11,0
975,03,0,0
999,03,0,0
182,04,22,18
184,04,154,8
185,04,914,183
201,04,64,42
221,04,26,7
222,04,1,0
225,04,0,0
261,04,0,0
262,04,1,0
265,04,4,1
266,04,0,25
267,04,1,1
268,04,33,21
269,04,0,0
270,04,0,0
281,04,33,34
321,04,0,0
365,04,6,3
366,04,7,9
367,04,2,0
369,04,0,0
371,04,1,0
703,04,0,0
901,04,81,66
971,04,0,0
974,04,0,0
975,04,0,0
999,04,0,0
184,05,0,0
185,05,0,0
201,05,6,4
202,05,1,0
221,05,7,0
225,05,16,6
226,05,0,0
241,05,2,1
261,05,23,8
262,05,38,24
270,05,6,4
281,05,4,4
341,05,1,0
342,05,0,0
361,05,0,0
365,05,4,4
366,05,1,0
367,05,0,0
368,05,0,0
369,05,11,0
371,05,152,62
703,05,0,0
901,05,3,2
911,05,0,0
912,05,0,0
921,05,0,0
922,05,0,0
923,05,0,0
924,05,0,0
931,05,0,0
933,05,0,0
934,05,0,0
935,05,0,0
941,05,9,2
942,05,0,0
943,05,0,0
961,05,0,0
962,05,0,0
971,05,0,0
972,05,0,0
973,05,0,0
974,05,0,0
976,05,0,0
999,05,0,0
201,06.1,1002,0
202,06.1,0,0
221,06.1,37,16
222,06.1,2,1
224,06.1,6,5
225,06.1,1,0
241,06.1,1,0
261,06.1,78,0
262,06.1,25,0
263,06.1,18,0
264,06.1,170,0
265,06.1,11,0
266,06.1,19,0
267,06.1,24,0
268,06.1,21,0
270,06.1,96,0
271,06.1,11,0
281,06.1,6,1
301,06.1,258,0
304,06.1,64,0
305,06.1,4,0
321,06.1,4,0
361,06.1,0,0
367,06.1,0,0
368,06.1,1,0
369,06.1,0,0
371,06.1,3,0
703,06.1,2,0
709,06.1,0,0
722,06.1,0,0
901,06.1,0,0
911,06.1,11,0
912,06.1,7,0
922,06.1,2,0
923,06.1,0,0
933,06.1,4,2
941,06.1,13,0
942,06.1,3,0
943,06.1,6,0
961,06.1,5,0
962,06.1,0,0
999,06.1,0,0
184,06.2,0,0
201,06.2,178,47
202,06.2,0,0
221,06.2,327,114
222,06.2,1,0
224,06.2,3,0
241,06.2,1,0
261,06.2,56,24
262,06.2,0,0
265,06.2,16,0
266,06.2,61,0
267,06.2,152,70
268,06.2,15,3
270,06.2,2,0
281,06.2,11,0
301,06.2,1,0
304,06.2,5,0
321,06.2,35,0
367,06.2,2,0
368,06.2,0,0
369,06.2,17,0
703,06.2,1,0
709,06.2,0,0
901,06.2,2,0
902,06.2,0,0
911,06.2,0,0
923,06.2,0,0
962,06.2,0,0
974,06.2,0,0
999,06.2,0,0
103,08,0,0
104,08,0,0
105,08,0,0
123,08,0,0
141,08,49,35
142,08,2,23
161,08,0,0
162,08,1,1
163,08,0,1
164,08,0,0
165,08,1,4
166,08,5,6
167,08,1,1
171,08,0,0
401,08,0,0
402,08,0,0
403,08,3,4
404,08,4,6
405,08,2,2
406,08,0,0
407,08,6,6
409,08,12,17
501,08,1,3
502,08,109,135
503,08,0,0
504,08,15,14
505,08,1,1
506,08,0,0
507,08,0,0
508,08,2,1
510,08,13,16
511,08,0,0
512,08,0,0
513,08,0,0
514,08,0,0
515,08,102,140
516,08,0,0
517,08,1,1
519,08,5,5
520,08,3,2
601,08,0,0
602,08,1,2
605,08,0,0
607,08,1,1
608,08,0,0
609,08,2,2
702,08,0,0
703,08,0,0
704,08,0,0
705,08,0,0
706,08,0,0
708,08,0,0
801,08,5,6
802,08,0,0
805,08,2,3
809,08,0,0
905,08,0,0
962,08,4,4
973,08,0,0
983,08,0,0
999,08,0,0
101,09,1,3
102,09,7,9
103,09,8,10
104,09,0,4
105,09,9,25
121,09,0,0
122,09,0,0
123,09,1,1
124,09,0,0
125,09,0,0
126,09,1,2
127,09,30,37
161,09,0,0
162,09,2,3
163,09,0,0
167,09,0,0
171,09,0,0
381,09,0,0
384,09,0,0
385,09,0,0
401,09,0,0
402,09,0,2
404,09,2,2
405,09,0,0
406,09,0,0
409,09,2,2
501,09,0,1
502,09,7,8
503,09,1,1
504,09,0,0
505,09,0,0
506,09,6,8
507,09,0,0
508,09,0,1
509,09,1,1
510,09,0,0
511,09,0,0
512,09,0,0
513,09,0,0
515,09,6,8
516,09,0,0
517,09,0,0
519,09,1,1
520,09,0,0
601,09,1,1
605,09,0,0
607,09,0,0
701,09,1,2
702,09,0,0
703,09,0,0
704,09,0,0
705,09,0,0
706,09,0,0
707,09,0,0
708,09,0,0
801,09,6,8
802,09,0,0
805,09,0,0
809,09,1,1
901,09,1,4
902,09,2,3
904,09,0,0
905,09,0,0
962,09,2,4
999,09,0,0
NA,09,0,0
